FBgn_ID,Gene_Symbol,Summary
FBgn0023518,trr,trithorax-related (trr) encodes a methyltransferase that trimethylates lysine 4 of the histone encoded by His3. The activity of the product of trr is stimulated by ecdysone and is important for eye development.
FBgn0028969,deltaCOP,Coat Protein (coatomer) delta (deltaCOP) mutants show narrow tracheal tubes due to defective luminal extracellular matrix secretion.
FBgn0040395,Unc-76,Unc-76 (Unc-76) encodes a kinesin binding protein involved in axo-dendritic transport.
FBgn0000382,csw,"corkscrew (csw) encodes a non receptor tyrosine phosphatase acting downstream of receptor tyrosine kinases (RTKs) such as Egfr, tor and FGF RTKs. The product of csw contributes to growth regulation, cell survival and developmental patterning."
FBgn0023507,D2hgdh,D-2-hydroxyglutaric acid dehydrogenase (D2hgdh) encodes an enzyme involved in oxidation-reduction metabolism.
FBgn0004654,Pgd,"Phosphogluconate dehydrogenase (Pgd) encodes a cytosolic enzyme that catalyzes the oxidation of 6-phospho-D-gluconate to D-ribulose 5-phosphate, with the concomitant reduction of NADP+ to NADPH in the oxidative branch of the pentose phosphate pathway."
FBgn0003116,pn,prune (pn) encodes a phosphoesterase that localizes to the mitochondrial matrix. It hydrolyzes cAMP and negatively regulates mitochondrial cAMP signaling. It is involved in mtDNA maintenance and eye pigment biosynthesis.
FBgn0000810,fs(1)K10,"female sterile (1) K10 (fs(1)K10) encodes a nuclear protein of unknown biochemical function required during oogenesis for the proper localization of grk mRNA and protein in the oocyte, a key step in the specification of the dorsoventral axis of the oocyte, mature egg, and future embryo."
FBgn0023523,Or2a,Odorant receptor 2a (Or2a) encodes a multi-transmembrane chemoreceptor that mediates response to volatile chemicals.
FBgn0003079,Raf,"Raf oncogene (Raf) encodes a serine-threonine protein kinase that acts downstream of the product of Ras85D. It activates the MEK/ERK pathway to regulate cell proliferation, differentiation and survival downstream of receptor tyrosine kinases such as those encoded by tor, Egfr, and sev."
FBgn0044047,Ilp6,Insulin-like peptide 6 (Ilp6) encodes a protein that promotes growth during starvation.
FBgn0027296,temp,tempura (temp) encodes a protein-prenyltransferase subunit that regulates Notch signaling.
FBgn0000377,crn,"crooked neck (crn) encodes a component of the splicing complex involved in axon ensheathment, glial cell migration and Malpighian tubule morphogenesis."
FBgn0004397,Vinc,"Vinculin (Vinc) encodes a key mechanoeffector of cell-cell and cell-extracellular matrix adhesion. It binds to the products of rhea and alpha-Cat, when they are stretched by force, and links them to actin. Vinc mutant flies are viable and fertile although mild defects have been documented in muscle attachment and heart function."
FBgn0023550,FarO,Fatty acyl-CoA reductase in oenocytes (FarO) encodes a long-chain-fatty-acyl-CoA reductase involved in the regulation of cell growth and lipid storage.
FBgn0004655,wapl,wings apart-like (wapl) encodes a protein that interacts with the product of pds5 to form the releasin complex that enables sister chromatid separation at mitosis by removing the cohesin ring complex from chromosomes. It also influences gene activation and silencing through interactions with cohesin.
FBgn0004861,ph-p,"polyhomeotic proximal (ph-p) encodes a stoichiometric subunit of the Polycomb repressive complex 1. The complex silences a variety of genes involved in developmental patterning, regulation of cell proliferation, differentiation and polarity. Together with its paralog ph-d, ph-p functions as a tumor suppressor gene."
FBgn0004860,ph-d,"polyhomeotic distal (ph-d) encodes a stoichiometric subunit of the Polycomb repressive complex 1. The complex silences a variety of genes involved in developmental patterning, regulation of cell proliferation, differentiation and polarity. Together with its paralog ph-p, ph-d functions as a tumor suppressor gene."
FBgn0001404,egh,"egghead (egh) encodes a Golgi beta1,4-mannosyltransferase that catalyzes the transfer of a mannose residue in a beta1,4-linkage to the glucose residue of glucosylceramide (GlcCer). It is involved in the biosynthesis of the glycan core of glycosphingolipids."
FBgn0040336,Seipin,Seipin (Seipin) encodes a transmembrane protein with roles in ER calcium homeostasis and lipid storage.
FBgn0040334,Tsp3A,"Tetraspanin 3A (Tsp3A) encodes a member of the tetraspanin superfamily. With two other tetraspanins, encoded by Tsp26A and Tsp86D, it regulates the trafficking of the product of kuz and consequently Notch signaling and several Notch-dependent developmental processes."
FBgn0011606,Klp3A,Kinesin-like protein at 3A (Klp3A) encodes a microtubule motor protein involved in chromosome segregation and mitotic spindle morphogenesis.
FBgn0040388,boi,"brother of ihog (boi) encodes a transmembrane protein that binds to the product of hh. The products of boi and ihog promote Hh signaling in receiving cells by acting as a co-receptor for the effector protein encoded by ptc. The product of boi also can suppress Hh signaling through a sequestration and release mechanism in cells producing the product of hh. It regulates many hh-dependent processes including proliferation, cell fate specification, and patterning."
FBgn0003714,tko,technical knockout (tko) encodes the mitochondrial ribosomal protein S12. It is involved in the response to hypoxia and mechanosensory and courtship behaviors.
FBgn0001150,gt,"giant (gt) encodes a transcription factor in the basic leucine zipper family. It is one of the ""gap"" transcription factors, transcribed very early in embryonic development, that help to divide the embryo along the anteroposterior axis."
FBgn0003371,sgg,"shaggy (sgg) encodes a glycogen synthase kinase 3, and a key component of the beta-catenin destruction complex. It functions in the canonical Wnt cascade."
FBgn0000928,fs(1)Yb,female sterile (1) Yb (fs(1)Yb) encodes a protein involved in maintenance of the germ-line stem cell population during oogenesis.
FBgn0000520,dwg,"deformed wings (dwg) encodes an architectural chromatin protein essential for embryonic development that organizes open chromatin in regulatory regions (predominantly promoters). dwg product binding site was found in the insulator encoded by scs, and its functions include enhancer blocking, support of distant interactions and recruitment of transcription factors."
FBgn0003996,w,"white (w) encodes a member of the ABCG2 class of transporters, transporting molecules such as cyclic GMP, biogenic amines and pigments including drosopterins and ommochromes. Mutation of w results in viable flies with white eyes. A shortened version of the gene (mini-w) has been widely used in transformation constructs as a selectable marker."
FBgn0024980,Syx4,"Syntaxin 4 (Syx4) encodes a member of the superfamily of SNARE genes, which mediate membrane fusion. The product of Syx4 is associated with Golgi to plasma membrane transport as well as acting as a plasma membrane t-SNARE to regulate synaptic growth at the neuromuscular junction."
FBgn0024994,Ugalt,"UDP-galactose transporter (Ugalt) encodes a transporter involved in UDP-N-acetylgalactosamine, UDP-galactose and galactose transmembrane transport."
FBgn0000479,Pde4,"Phosphodiesterase 4 (Pde4) encodes a cAMP-specific phosphodiesterase, responsible for cAMP degradation. Pde4 product plays a pivotal role in neurological and behavioral plasticity including synaptic development and function, learning and courtship. The product of Pde4 is also known to affect regulation of several developmental processes such as oogenesis."
FBgn0028369,kirre,"kin of irre (kirre) encodes a transmembrane protein of the Ig superfamily that is involved in heterotypic interactions with the product of sns. Interactions with intracellular adaptors regulate cytoskeleton dynamics. Its biological roles include myoblast aggregation and fusion, nephrocyte diaphragm formation, and cell sorting in the eye and wing imaginal discs."
FBgn0003285,rst,roughest (rst) encodes a multi-purpose transmembrane protein that is well studied in the fly eye and muscle during development. It interacts with the transmembrane ligand encoded by hbs to guide cell movement.
FBgn0044046,Ilp7,"Insulin-like peptide 7 (Ilp7) encodes a secreted insulin-like peptide that binds to the receptor encoded by InR to activate the insulin signaling pathway. It is expressed by small populations of neurons and plays roles in female egg-site selection, sleep duration, and nutrient-dependent food intake and tracheal growth."
FBgn0023215,Mnt,"Mnt (Mnt) encodes a protein that belongs to the basic-helic-loop-helix-zipper class of transcription factors, which form heterodimers with the protein encoded by Max. Mnt product acts as a repressor of transcription by recruiting a co-repressor complex to its genomic binding sites. It antagonizes cell growth promoting functions of the product encoded by Myc and its depletion produces flies with larger cells, increased weight, and decreased lifespan."
FBgn0015286,Rala,"Ras-like protein A (Rala) encodes a GTPase that regulates Notch, Jak/Stat and JNK signalling pathways."
FBgn0023216,Parg,"Poly(ADP-ribose) glycohydrolase (Parg) encodes a nuclear enzyme that degrades poly(ADP-ribose) to mono(ADP-ribose) from the acceptor proteins after their modification by the product of Parp1. It performs several vital roles, including regulation of developmental patterning and germ-line stem cell fate."
FBgn0029687,Vap33,"VAMP-associated protein 33kDa (Vap33) encodes a protein that plays a conserved role in synaptic homeostasis. It controls a number of processes which depend on phosphoinositide levels, such as synaptic growth and axonal transport. It binds to the product of Sac1 to maintain normal levels of phosphoinositides and to the product of Dscam1 to affect its localization within axonal projections."
FBgn0029688,lva,"lava lamp (lva) encodes a microfilament/microtubule-associated protein involved in cellularization, Golgi localization, and dendrite morphogenesis."
FBgn0000221,brn,"brainiac (brn) encodes a Golgi beta-1,4-mannosylglycolipid beta-1,3-N-acetylglucosaminyltransferase that catalyzes the transfer of an N-acetylglucosamine residue in a beta1,3-linkage to the terminal mannose residue of Man(beta-1,4)Glc-ceramide. It is involved in the biosynthesis of the glycan core of glycosphingolipids."
FBgn0026084,cib,ciboulot (cib) encodes an actin binding protein involved in brain development and the remodeling of the larval central nervous system.
FBgn0026083,tyf,twenty-four (tyf) encodes a protein that forms a complex together with the products of Atx2 and Lsm12. This complex binds per mRNA and activates its translation to sustain circadian rhythms. The tyf product is also involved in immune defense against Listeria monocytogenes infection.
FBgn0002707,mei-9,meiotic 9 (mei-9) encodes the catalytic subunit of the Mei-9-Ercc1 structure-selective endonuclease that functions in nucleotide excision repair. The products of mei-9 and Ercc1 interact with the product of mus312 to generate meiotic crossovers.
FBgn0000635,Fas2,"Fasciclin 2 (Fas2) encodes a member of the immunoglobulin superfamily of cell adhesion molecules, and functions during axon extension and imaginal disc growth. Fas2 promotes EGFR-dependent epithelial cell proliferation in imaginal discs at low and moderate expression levels, whereas it acts as an EGFR repressor at high expression levels."
FBgn0026080,Tip60,"Tat interactive protein 60kDa (Tip60) encodes a lysine acetyltransferase that acetylates histone proteins to regulate chromatin packaging and epigenetic gene control. It also acetylates non-histone proteins, and plays a role in apoptosis, DNA repair and various neural processes."
FBgn0000179,bi,"bifid (bi) encodes a T-box transcription factor that controls cell proliferation, viability and cell migration. It contributes to the development of several tissues such as brain, eyes and wings. In wing development it is activated by the product of dpp and to a lesser extent by Wg signaling."
FBgn0029709,CHOp24,CHOp24 (CHOp24) encodes a p24 transporter that contributes to the intracellular trafficking between the ER and Golgi. It is required for secretion of Wnt ligands.
FBgn0029711,Usf,Usf (Usf) encodes a bHLH family transcription factor that recognizes E-boxes in the Ste promoter.
FBgn0003210,rb,"ruby (rb) encodes  the beta3-adaptin subunit of the Adaptor protein-3 (AP-3) complex involved in biogenesis of lysosome-related organelles. It is required for regulation of lipid storage, eye pigment biogenesis and the processing of the receptor encoded by N."
FBgn0011760,ctp,"cut up (ctp) encodes the 8 kDa (LC8/DLC1) subunit of the cytoplasmic Dynein, as well as the Myosin V. It homodimerizes and binds to a variety of proteins. It is involved in both dynein-dependent and independent functions such as cell viability, axonal guidance, spermatid growth and individualization, and regulation of spermatogonial divisions."
FBgn0028325,Pdha1,"Pyruvate dehydrogenase E1 alpha subunit 1 (Pdha1) encodes the E1 alpha subunit of the mitochondrial pyruvate dehydrogenase complex. Overall, the complex catalyzes the oxidative decarboxylation of pyruvate to acetyl-CoA, NADH and CO2. The E1 component, composed of the Pdha1 and Pdhb proteins, catalyzes the decarboxylation of pyruvate producing an acetyl intermediate bound to the thiamine pyrophosphate (TPP) cofactor and CO2."
FBgn0004368,Ptp4E,"Protein tyrosine phosphatase 4E (Ptp4E) encodes a transmembrane receptor tyrosine phosphatase closely related to the product of Ptp10D. Ptp4E single mutants have no known phenotypes. However, Ptp4E-Ptp10D double mutants have lethal respiratory defects. The product of Ptp4E regulates signaling through the receptor tyrosine kinases encoded by Egfr, btl and Pvr."
FBgn0003449,snf,sans fille (snf) encodes a protein component of U1 and U2 small nuclear ribonucleoproteins (snRNPs). U1 and U2 snRNPs combine with other snRNPs on the pre-mRNA to assemble a spliceosome. It contributes to alternative splicing regulation.
FBgn0011761,dhd,deadhead (dhd) encodes a thioredoxin-like protein necessary for the initiation of embryonic development.
FBgn0029755,Sas10,"Something about silencing 10 (Sas10) encodes a protein belonging to the SAS10 family. It might be a substrate of the RNA deaminase encoded by Adar, which shows an adenosine to inosine (A-to-I) deaminase activity in pre-mRNA transcripts. The noncoding strand of the adjacent gene, Rnp4F, reads through to form a duplex with Sas10 transcripts at their 3'-end to target both transcripts for promiscuous A-to-I editing and degradation."
FBgn0014024,Rnp4F,RNA-binding protein 4F (Rnp4F) encodes an essential evolutionarily-conserved RNA-binding protein. Rnp4F gene expression is post-transcriptionally regulated by interaction with a stable stem-loop structure in the 5'-UTR of the mRNA with trans-acting factors.
FBgn0029761,SK,"small conductance calcium-activated potassium channel (SK) encodes a potassium channel subunit. Four SK subunits together form a voltage-independent potassium channel, which is activated by intracellular calcium levels and is required for normal photoreceptor light response. Contrary to its mammalian counterpart, Drosophila SK channel is not sensitive to apamin, at least not in photoreceptors."
FBgn0004687,Mlc-c,Myosin light chain cytoplasmic (Mlc-c) encodes a subunit of the myosin complex that is involved in actin filament-based movement.
FBgn0000394,cv,crossveinless (cv) encodes a member of the tumor suppressor gene family of BMP binding proteins. Its primary function is to help specify the posterior crossvein during pupal wing development by enhancing Dpp/Gbb signaling.
FBgn0029823,Shmt,"Serine hydroxymethyl transferase (Shmt) encodes a conserved pyridoxal phosphate-containing enzyme that converts serine into glycine and N5,N10-methylentetrahydrofolate. This reaction represents a major source for activated C1 units and tetrahydrofolate-mediated C1 metabolism."
FBgn0014340,mof,"males absent on the first (mof) encodes a MYST family histone acetyltransferase that acetylates the product of His4 at Lysine 16. It is part of the male-specific lethal complex that mediates dosage compensation by transcriptional upregulation of the male X chromosome. In addition, it is part of the non-specific lethal complex which regulates expression of housekeeping genes in males and females."
FBgn0029800,lin-52,"lin-52 (lin-52) encodes a subunit of the MuvB core complex. The MuvB core binds to the oncoprotein encoded by Myb and the Rbf-E2f2-Dp tumor suppressor complex, thereby controlling the expression of many genes, including critical regulators of the cell cycle."
FBgn0027564,CG3149,"CG3149 encodes a putative endoplasmic reticulum (ER) transmembrane floppase that is predicted to translocate (Man)5(GlcNAc)2-diphosphodolichol across the ER membrane so that the oligosaccharide faces the ER lumen, where sugar elongation continues to produce the precursor required for N-linked protein glycosylation."
FBgn0029789,PGAP1,"Post-GPI attachment to proteins 1 (PGAP1) encodes an endoplasmic reticulum deacylase that catalyzes the removal of the acyl chain linked to the 2-OH position of the inositol ring from the GPI-anchor core, which is part of the post-attachment remodelling of the glycan and lipid moieties of GPI-anchored proteins."
FBgn0046687,Tre1,"Trapped in endoderm 1 (Tre1) encodes a G protein-coupled receptor of the rhodopsin class. Its functions include primordial germ cell/pole cell migration and programmed cell death, central nervous system stem cell division orientation, and mating/courtship behavior."
FBgn0029830,Grip,Glutamate receptor binding protein (Grip) encodes a protein involved in muscle attachment and synapse organization.
FBgn0029843,Nep1,Neprilysin 1 (Nep1) encodes a plasma membrane bound metallopeptidase considered to cleave and thus inactivate signaling peptides in the extracellular space. It contributes to female and male fertility.
FBgn0029849,Efr,"ER GDP-fucose transporter (Efr) encodes a multifunctional endoplasmic reticulum nucleotide sugar transporter that transports GDP-fucose, UDP-N-acetylglucosamine and UDP-xylose from the cytosol into the ER lumen."
FBgn0003514,sqh,"spaghetti squash (sqh) encodes the regulatory light chain of the nonmuscle type 2 myosin. Its phosphorylation through the Rho-Rho Kinase pathway is predicted to activate myosin motor activity. The product of sqh and myosin function in cellular processes such as cytokinesis, and also contribute to tissue morphogenesis."
FBgn0029840,raptor,"raptor (raptor) encodes a crucial component of target of rapamycin (TOR) complex 1, which is a conserved regulator of cell growth and metabolism."
FBgn0014031,Agxt,Alanine-glyoxylate aminotransferase (Agxt) encodes an enzyme involved in glyoxylate catabolism.
FBgn0014026,RpL7A,Ribosomal protein L7A (RpL7A) encodes a ribosomal structural constituent.
FBgn0003139,PpV,"Protein phosphatase V (PpV) encodes the catalytic subunit of the protein phosphatase 6 (PP6), which negatively regulates JNK and AMPK signaling. PpV product is essential for lipid homeostasis and Ras-induced tumorigenesis."
FBgn0028685,Rpt4,"Regulatory particle triple-A ATPase 4 (Rpt4) encodes the 19S proteasomal ATPase, which is a component of the 26S proteosome complex. It localizes to the nucleolus and participates in regulating rRNA transcription. It physically interacts with the tumor suppressor encoded by BHD."
FBgn0026015,Top3beta,"Topoisomerase 3beta (Top3beta) encodes an RNA topoisomerase that participates in both transcription and translation. It promotes transcription by being recruited by the product of Tdrd3, an epigenetic reader recognizing dimethylarginine motifs in core histones. It contributes to translation by complexing with the product of Fmr1, an RNA-binding protein deficient in fragile X mental retardation syndrome."
FBgn0040918,schlank,schlank (schlank) encodes a member of the Ceramide Synthases family involved in sphingolipid metabolism. It is essential for ceramide synthesis and modulates triacylglycerol levels and transcriptional expression of body fat metabolism regulators.
FBgn0023458,Rbcn-3A,"Rabconnectin-3A (Rbcn-3A) encodes a protein that is part of a regulatory subunit of the Vacuolar H[+] ATPase required for acidification of intracellular vesicles and the lysosome. It is involved in endocytic trafficking and lysosome function, and mutations block Notch signaling in follicle cells and imaginal disc cells."
FBgn0029878,Pat1,Protein interacting with APP tail-1 (Pat1) encodes a protein required for the product of Khc to transport cargo and to maximize its motility. In oocytes the products of Pat1 and Klc act in a redundant manner.
FBgn0029879,APC7,Anaphase Promoting Complex subunit 7 (APC7) encodes a protein that  associates with the anaphase promoting complex/cyclosome (APC/C). It shows synergistic genetic interaction with the essential APC/C subunit encoded by Cdc23. The association of the product of APC7 and APC/C may be either transient or occurs only in certain forms of the APC/C complex.
FBgn0028360,Cdc7,"Cdc7 kinase (Cdc7) encodes a conserved protein kinase that is activated by the regulatory subunit encoded by chif during late G1/S of the cell cycle. The activated product of Cdc7 promotes the initiation of DNA replication through phosphorylation, and thereby activation, of the DNA helicase encoded by Mcm2 ."
FBgn0062413,Ctr1A,Copper transporter 1A (Ctr1A) encodes a plasma membrane protein that functions as a copper transporter. It is required to drive neuropeptide maturation during normal growth and development.
FBgn0025815,Mcm6,"Minichromosome maintenance 6 (Mcm6) encodes a subunit of the hetero-hexameric mini-chromosome maintenance (MCM) Complex, which is the eukaryotic replicative DNA helicase. MCM complex requires association with CDC45L and the GINS complex for full helicase activity."
FBgn0029502,Coq7,"Coenzyme Q7 (Coq7) encodes a mitochondrial 3-demethoxyubiquinol 3-hydroxylase that catalyzes the hydroxylation of the benzoquinol ring in the penultimate step of the synthesis of Coenzyme Q (ubiquinone), a lipid component of the mitochondrial electron transport chain."
FBgn0029903,pod1,pod1 (pod1) encodes a microtubule and actin filament binding protein involved in actin cytoskeleton reorganization and axon guidance.
FBgn0029906,xit,"xiantuan (xit) encodes an endoplasmic reticulum (ER) transmembrane alpha-1,3-glucosyltransferase that catalyzes the transfer of the second glucose to Glc(Man)9(GlcNAc)2-diphosphodolichol in the ER lumen. This is the 11th step in the synthesis of dolichol-linked oligosaccharide, the precursor required for N-linked protein glycosylation. It contributes to the control of gastrulation movements."
FBgn0029907,Atx-1,"Ataxin 1 (Atx-1) encodes the ortholog of human Atx-1, in which pathogenic variants with expanded glutamine tracts cause spinocerebellar ataxia type 1. It  interacts with the product of sens via its AXH domain."
FBgn0029909,mAChR-C,"muscarinic Acetylcholine Receptor, C-type (mAChR-C) encodes a G protein-coupled receptor activated by acetylcholine."
FBgn0029905,Nf-YC,Nuclear factor Y-box C (Nf-YC) encodes a transcription factor involved in axon guidance.
FBgn0003390,shf,shifted (shf) encodes a secreted protein that positively modulates Hedgehog signaling. It controls the diffusion of the lipid-modified protein encoded by hh by stabilizing its interaction with the heparan sulfate proteoglycans.
FBgn0027108,Inx2,"Innexin 2 (Inx2) encodes a gap junction protein that can form heteromeric gap junction channels via interaction with the products of ogre or Inx3. It can also interact with cell adhesion forming components encoded by shg and arm. It contributes to epithelial organization and polarity of the embryonic epidermis, regulation of morphogen-dependent organ size and stem cell behavior."
FBgn0027106,Inx7,Innexin 7 (Inx7) is one out of eight gap junction protein encoding genes in Drosophila. It is expressed in all embryonic epithelia from early to late stages of development and is found in glial and neuronal cells. It is functionally required for embryonic nervous system development.
FBgn0004646,ogre,"optic ganglion reduced (ogre) encodes one of the innexin subunits spanning the membrane 4 times. Together with the products of Inx2 and Inx3, it forms homo or hetero oligomers forming gap junctions, which allow the transfer of small solute between cells."
FBgn0029944,Dok,Downstream of kinase (Dok) encodes a membrane-associated protein that functions upstream of the product of Shark to activate Jun kinase signaling during embryonic dorsal closure.
FBgn0004198,ct,"cut (ct) encodes a homeoprotein that functions as a transcriptional factor in many different cells such as wing disc, muscle, oocyte and sense organ cells. It is a regulator of type-specific neuronal identity in the peripheral nervous system. ct is expressed at variable levels in the dendritic arborization (DA) neurons and these levels control the different dendritic morphologies specific for each class of DA neurons."
FBgn0022786,Hira,Hira (Hira) encodes a histone H3-H4 chaperone that specifically assembles nucleosomes containing the histone H3.3 variant. It is involved in various replication-independent nucleosome assembly processes and is critically required for de novo chromatin assembly in the male pronucleus.
FBgn0016041,Tom40,"Translocase of outer membrane 40 (Tom40) encodes a protein predicted to be a channel component of the TOM complex, which is involved in protein import into mitochondria. It is predicted to be involved in the cellular response to hypoxia."
